 [01:30:27]  INP: S 3, D 8, Dp 31, Sp 52, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:30:37]  INP: S 3, D 8, Dp 31, Sp 39, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:30:47]  INP: S 3, D 8, Dp 31, Sp 57, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:31:07]  INP: S 3, D 8, Dp 31, Sp 63, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:31:17]  INP: S 3, D 8, Dp 31, Sp 50, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:31:27]  INP: S 3, D 8, Dp 31, Sp 37, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:31:37]  INP: S 3, D 8, Dp 31, Sp 56, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:31:47]  INP: S 3, D 8, Dp 31, Sp 43, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:32:27]  INP: S 3, D 8, Dp 31, Sp 55, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:32:37]  INP: S 3, D 8, Dp 31, Sp 33, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:32:47]  INP: S 3, D 8, Dp 31, Sp 42, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:32:57]  INP: S 3, D 8, Dp 31, Sp 61, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:33:07]  INP: S 3, D 8, Dp 31, Sp 48, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:33:27]  INP: S 3, D 8, Dp 31, Sp 44, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:33:37]  INP: S 3, D 8, Dp 31, Sp 63, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:33:47]  INP: S 3, D 8, Dp 31, Sp 48, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:33:57]  INP: S 3, D 8, Dp 31, Sp 35, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:34:07]  INP: S 3, D 8, Dp 31, Sp 54, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:34:27]  INP: S 3, D 8, Dp 31, Sp 62, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:34:37]  INP: S 3, D 8, Dp 31, Sp 49, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:34:47]  INP: S 3, D 8, Dp 31, Sp 36, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:35:07]  INP: S 3, D 8, Dp 31, Sp 42, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:35:37]  INP: S 3, D 8, Dp 31, Sp 35, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:35:47]  INP: S 3, D 8, Dp 31, Sp 52, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:36:07]  INP: S 3, D 8, Dp 31, Sp 50, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:36:17]  INP: S 3, D 8, Dp 31, Sp 37, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:36:37]  INP: S 3, D 8, Dp 31, Sp 41, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:36:47]  INP: S 3, D 8, Dp 31, Sp 60, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:37:47]  INP: S 3, D 8, Dp 31, Sp 60, Pr 2, Fl 0x01, Sz 116 VIA: KISS
