 [01:43:09]  INP: S 3, D 8, Dp 31, Sp 47, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:43:39]  INP: S 3, D 8, Dp 31, Sp 51, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:44:09]  INP: S 3, D 8, Dp 31, Sp 55, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:44:10]  OUT: S 8, D 5, Dp 1, Sp 51, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:13]  OUT: S 8, D 5, Dp 1, Sp 39, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:17]  OUT: S 8, D 5, Dp 1, Sp 49, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:20]  OUT: S 8, D 5, Dp 1, Sp 37, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:23]  OUT: S 8, D 5, Dp 1, Sp 56, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:26]  OUT: S 8, D 5, Dp 1, Sp 44, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:30]  OUT: S 8, D 5, Dp 1, Sp 63, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:33]  OUT: S 8, D 5, Dp 1, Sp 51, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:36]  OUT: S 8, D 5, Dp 1, Sp 38, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:40]  OUT: S 8, D 5, Dp 1, Sp 40, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:43]  OUT: S 8, D 5, Dp 1, Sp 59, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:46]  OUT: S 8, D 5, Dp 1, Sp 47, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:49]  INP: S 3, D 8, Dp 31, Sp 49, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:44:50]  OUT: S 8, D 5, Dp 1, Sp 35, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:53]  OUT: S 8, D 5, Dp 1, Sp 55, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:56]  OUT: S 8, D 5, Dp 1, Sp 36, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:59]  OUT: S 8, D 5, Dp 1, Sp 56, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:45:03]  OUT: S 8, D 5, Dp 1, Sp 43, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:45:06]  OUT: S 8, D 5, Dp 1, Sp 63, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:45:09]  OUT: S 8, D 5, Dp 1, Sp 41, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:45:13]  OUT: S 8, D 5, Dp 1, Sp 61, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:45:16]  OUT: S 8, D 5, Dp 1, Sp 48, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:45:19]  INP: S 3, D 8, Dp 31, Sp 51, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:45:19]  OUT: S 8, D 5, Dp 1, Sp 37, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:45:23]  OUT: S 8, D 5, Dp 1, Sp 56, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:45:26]  OUT: S 8, D 5, Dp 1, Sp 44, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:45:29]  INP: S 3, D 8, Dp 31, Sp 43, Pr 2, Fl 0x01, Sz 116 VIA: KISS
