 [15:15:41]  Set Debug : True.
 [15:15:48]  INP: S 3, D 8, Dp 31, Sp 41, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:15:58]  INP: S 3, D 8, Dp 31, Sp 60, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:15:59]  OUT: S 8, D 5, Dp 1, Sp 58, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [15:16:02]  OUT: S 8, D 5, Dp 1, Sp 48, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [15:16:05]  OUT: S 8, D 5, Dp 1, Sp 59, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [15:16:08]  INP: S 3, D 8, Dp 31, Sp 47, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:16:09]  OUT: S 8, D 5, Dp 1, Sp 50, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [15:16:12]  OUT: S 8, D 5, Dp 1, Sp 39, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [15:16:15]  OUT: S 8, D 5, Dp 1, Sp 58, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [15:16:19]  OUT: S 8, D 5, Dp 1, Sp 47, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [15:16:22]  OUT: S 8, D 5, Dp 1, Sp 36, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [15:16:23]  INP: S 5, D 8, Dp 36, Sp 1, Pr 2, Fl 0x01, Sz 8 VIA: KISS
 [15:16:24]  OUT: S 8, D 5, Dp 1, Sp 33, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [15:16:25]  OUT: S 8, D 5, Dp 9, Sp 56, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:26]  OUT: S 8, D 5, Dp 9, Sp 46, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:27]  OUT: S 8, D 5, Dp 9, Sp 33, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:29]  OUT: S 8, D 5, Dp 9, Sp 53, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:30]  OUT: S 8, D 5, Dp 9, Sp 41, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:31]  OUT: S 8, D 5, Dp 9, Sp 61, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:32]  INP: S 5, D 8, Dp 61, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [15:16:33]  OUT: S 8, D 5, Dp 9, Sp 49, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:34]  OUT: S 8, D 5, Dp 9, Sp 37, Pr 1, Fl 0x01, Sz 0 VIA: KISS
